win_lose,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,league_id,season,team_long_name0,team_long_name1
1,10224,9788,8406,4,2,7809,2015/2016,Borussia Mönchengladbach,FC Augsburg
2,10225,9904,10269,1,3,7809,2015/2016,Hannover 96,VfB Stuttgart
1,10226,8177,8722,2,0,7809,2015/2016,Hertha BSC Berlin,1. FC Köln
3,10227,8226,9789,1,1,7809,2015/2016,TSG 1899 Hoffenheim,Borussia Dortmund
2,10228,8234,9790,0,1,7809,2015/2016,FC Ingolstadt 04,Hamburger SV
1,10229,8262,8697,2,1,7809,2015/2016,SV Darmstadt 98,SV Werder Bremen
3,10230,9789,8262,2,2,7809,2015/2016,Borussia Dortmund,SV Darmstadt 98
3,10231,8721,9904,1,1,7809,2015/2016,VfL Wolfsburg,Hannover 96
2,10232,9790,10189,0,1,7809,2015/2016,Hamburger SV,FC Schalke 04
2,10233,10269,9788,1,3,7809,2015/2016,VfB Stuttgart,Borussia Mönchengladbach
2,10234,8406,8226,1,3,7809,2015/2016,FC Augsburg,TSG 1899 Hoffenheim
2,10235,8697,8178,0,3,7809,2015/2016,SV Werder Bremen,Bayer 04 Leverkusen
3,10236,9810,8177,1,1,7809,2015/2016,Eintracht Frankfurt,Hertha BSC Berlin
3,10237,8722,8234,1,1,7809,2015/2016,1. FC Köln,FC Ingolstadt 04
2,10238,9905,9823,0,3,7809,2015/2016,1. FSV Mainz 05,FC Bayern Munich
1,10239,9823,9789,5,1,7809,2015/2016,FC Bayern Munich,Borussia Dortmund
2,10240,10189,8722,0,3,7809,2015/2016,FC Schalke 04,1. FC Köln
3,10241,8178,8406,1,1,7809,2015/2016,Bayer 04 Leverkusen,FC Augsburg
1,10242,9788,8721,2,0,7809,2015/2016,Borussia Mönchengladbach,VfL Wolfsburg
1,10243,9904,8697,1,0,7809,2015/2016,Hannover 96,SV Werder Bremen
1,10244,8177,9790,3,0,7809,2015/2016,Hertha BSC Berlin,Hamburger SV
3,10245,8226,10269,2,2,7809,2015/2016,TSG 1899 Hoffenheim,VfB Stuttgart
1,10246,8234,9810,2,0,7809,2015/2016,FC Ingolstadt 04,Eintracht Frankfurt
2,10247,8262,9905,2,3,7809,2015/2016,SV Darmstadt 98,1. FSV Mainz 05
1,10248,10189,8177,2,1,7809,2015/2016,FC Schalke 04,Hertha BSC Berlin
1,10249,8721,8226,4,2,7809,2015/2016,VfL Wolfsburg,TSG 1899 Hoffenheim
3,10250,9790,8178,0,0,7809,2015/2016,Hamburger SV,Bayer 04 Leverkusen
1,10251,10269,8234,1,0,7809,2015/2016,VfB Stuttgart,FC Ingolstadt 04
2,10252,8406,8262,0,2,7809,2015/2016,FC Augsburg,SV Darmstadt 98
2,10253,8697,9823,0,1,7809,2015/2016,SV Werder Bremen,FC Bayern Munich
2,10254,9810,9788,1,5,7809,2015/2016,Eintracht Frankfurt,Borussia Mönchengladbach
2,10255,8722,9904,0,1,7809,2015/2016,1. FC Köln,Hannover 96
2,10256,9905,9789,0,2,7809,2015/2016,1. FSV Mainz 05,Borussia Dortmund
